2,0.0005,2,5.537573011008291e-13
3,0.0005,2,4.624619536830724e-13
4,0.0005,2,3.981681988952317e-13
5,0.0005,2,3.5710088411733634e-13
8,0.0005,2,2.781797520524735e-13
10,0.0005,2,2.5160777500291584e-13
15,0.0005,2,2.0432741806146907e-13
20,0.0005,2,1.7957876465734317e-13
25,0.0005,2,1.5901927881214962e-13
30,0.0005,2,1.463025097386465e-13
35,0.0005,2,1.3185392214038975e-13
40,0.0005,2,1.2453145662565772e-13
50,0.0005,2,1.1150615239478025e-13
60,0.0005,2,1.009475756051147e-13
70,0.0005,2,9.420642906030798e-14
80,0.0005,2,8.954454804482227e-14
90,0.0005,2,8.326624620867275e-14
100,0.0005,2,7.901888715639082e-14
150,0.0005,2,6.441800405358979e-14
213,0.0005,2,5.3450467650725637e-14
2,0.0025,2,3.2325465333719785e-13
3,0.0025,2,2.628231517460239e-13
4,0.0025,2,2.2542574028507508e-13
5,0.0025,2,2.0100026737061633e-13
8,0.0025,2,1.611046283595568e-13
10,0.0025,2,1.4249262243971163e-13
15,0.0025,2,1.140950590289371e-13
20,0.0025,2,1.0104443693837105e-13
25,0.0025,2,9.084452604391332e-14
30,0.0025,2,8.356040205539226e-14
35,0.0025,2,7.775779215640677e-14
40,0.0025,2,7.25277175903249e-14
50,0.0025,2,6.492810343439199e-14
60,0.0025,2,5.82494382600945e-14
70,0.0025,2,5.4668898844411744e-14
80,0.0025,2,5.054695265779412e-14
90,0.0025,2,4.765866211817337e-14
100,0.0025,2,4.577316157397486e-14
150,0.0025,2,3.780031643941759e-14
213,0.0025,2,3.1161912404526685e-14
